"N","min(cellID)","q1(cellID)","med(cellID)","q3(cellID)","max(cellID)","avg(cellID)","std(cellID)","min(alphat)","q1(alphat)","med(alphat)","q3(alphat)","max(alphat)","avg(alphat)","std(alphat)","min(YSat)","q1(YSat)","med(YSat)","q3(YSat)","max(YSat)","avg(YSat)","std(YSat)","min(alpha1)","q1(alpha1)","med(alpha1)","q3(alpha1)","max(alpha1)","avg(alpha1)","std(alpha1)","min(alpha2)","q1(alpha2)","med(alpha2)","q3(alpha2)","max(alpha2)","avg(alpha2)","std(alpha2)","min(p_rgh)","q1(p_rgh)","med(p_rgh)","q3(p_rgh)","max(p_rgh)","avg(p_rgh)","std(p_rgh)","min(pSat)","q1(pSat)","med(pSat)","q3(pSat)","max(pSat)","avg(pSat)","std(pSat)","min(massFlux)","q1(massFlux)","med(massFlux)","q3(massFlux)","max(massFlux)","avg(massFlux)","std(massFlux)","min(p)","q1(p)","med(p)","q3(p)","max(p)","avg(p)","std(p)","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(xf)","q1(xf)","med(xf)","q3(xf)","max(xf)","avg(xf)","std(xf)","min(rhof)","q1(rhof)","med(rhof)","q3(rhof)","max(rhof)","avg(rhof)","std(rhof)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,5461,5740,6022,6301,6583,6021.251,324.5438,0,0,0,0,0,0,0,0.00407063,0.00408649,0.00411884,0.00420381,0.00430751,0.004147992,7.152022e-05,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-557.194,-355.724,-267.584,-68.7297,1025.92,-211.7548,231.1133,658.823,661.373,666.575,680.233,696.899,671.2597,11.49635,0.0167566,0.0191142,0.0214115,0.0227312,0.0241023,0.02093366,0.002143979,-558.078,-355.296,-267.838,-69.0698,1025.89,-211.8486,231.2875,274.195,274.249,274.358,274.641,274.979,274.4536,0.2374317,0.00547435,0.00568047,0.0059039,0.00609816,0.00631603,0.005893382,0.0002441554,0.0354006,0.0402904,0.0455855,0.0499997,0.0536899,0.0451281,0.00548754,0,0,0,0,0,0,0,5.37964,39.3296,44.0936,47.4074,50.3793,43.13443,5.614938,-27.7647,-6.04119,0.590506,4.60293,24.3469,-0.03458301,7.611171,-1.14632e-21,-1.27574e-24,0,1.48906e-24,9.32601e-22,6.803983e-24,1.164579e-22,5.428627,40.04342,45.17244,47.57707,50.48101,43.8612,5.113543,0,186,374,561,749,374.0013,216.3643,1,1
749,5461,5740,6022,6301,6583,6021.251,324.5438,0,0,0,0,0,0,0,0.00391363,0.00401038,0.00411496,0.00420538,0.00430768,0.004109326,0.0001147155,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-571.833,-357.858,-264.532,-54.3714,1023.35,-209.9881,233.8577,633.572,649.134,665.95,680.485,696.926,665.0415,18.4437,0.0182907,0.0200499,0.0215159,0.0227483,0.0241044,0.02139199,0.001623378,-572.717,-357.685,-263.966,-54.0243,1023.32,-210.082,234.0442,273.653,273.989,274.345,274.646,274.979,274.3209,0.386645,0.00543844,0.00568136,0.00590809,0.00610091,0.00631638,0.005892017,0.000249865,0.0739171,0.0835113,0.0924657,0.0996469,0.10626,0.09148739,0.009399093,0,0,0,0,0,0,0,5.61474,36.99405,44.3382,47.4043,51.3119,42.42222,6.917901,-27.2104,-5.81704,0.637876,4.36299,25.1268,0.03987042,7.547455,-1.08686e-21,-1.32892e-24,0,1.41385e-24,9.10577e-22,6.992618e-24,1.145312e-22,6.183304,37.89612,45.44002,47.69443,51.39198,43.14219,6.567872,0,186,374,561,749,374.0013,216.3643,1,2
749,5461,5740,6022,6301,6583,6021.251,324.5438,0,0,0,0,0,0,0,0.00389675,0.00401254,0.00411696,0.00420602,0.00430773,0.004109959,0.0001154931,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-586.172,-364.726,-264.188,-46.7323,1020.79,-211.3848,239.4565,630.856,649.482,666.272,680.588,696.933,665.1431,18.56885,0.0182732,0.02008,0.0215473,0.0227565,0.024105,0.02141162,0.00161281,-587.056,-364.094,-264.815,-46.3853,1020.77,-211.4785,239.646,273.593,273.997,274.351,274.648,274.98,274.323,0.3893869,0.00541959,0.00568735,0.00591251,0.00610239,0.00631648,0.005894247,0.0002498754,0.11381,0.127236,0.139436,0.149271,0.158833,0.1381679,0.01292431,0,0,0,0,0,0,0,5.69023,36.9085,44.6986,47.6557,52.1444,42.48789,7.377817,-27.0687,-5.73712,0.633811,4.34938,25.3502,0.01752868,7.562786,-1.0722e-21,-1.39621e-24,0,1.43055e-24,9.05113e-22,7.08097e-24,1.140647e-22,6.466574,37.82565,45.67463,47.92467,52.158,43.2095,7.050179,0,186,374,561,749,374.0013,216.3643,1,3
749,5461,5740,6022,6301,6583,6021.251,324.5438,0,0,0,0,0,0,0,0.00389788,0.00401602,0.00411896,0.00420637,0.00430776,0.004111368,0.0001145434,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-598.005,-368.84,-266.743,-45.68,1019.14,-213.8709,244.4344,631.038,650.041,666.593,680.644,696.939,665.3698,18.41606,0.0183114,0.0201111,0.0215618,0.02276,0.0241054,0.02142201,0.001605584,-598.889,-368.211,-267.363,-45.333,1019.11,-213.9647,244.6306,273.597,274.008,274.358,274.649,274.98,274.3278,0.3861444,0.0054238,0.00569144,0.00591576,0.00610303,0.00631655,0.005896525,0.0002483354,0.153705,0.171116,0.186366,0.198885,0.211407,0.1848809,0.01642888,0,0,0,0,0,0,0,5.74897,36.95265,45.0682,47.8757,52.4794,42.6631,7.528371,-26.9464,-5.86609,0.635264,4.35495,25.5199,-0.01673062,7.592306,-1.05993e-21,-1.4177e-24,0,1.58683e-24,9.00502e-22,7.060794e-24,1.141116e-22,6.712029,37.98215,46.12402,48.0009,52.49303,43.38794,7.201585,0,186,374,561,749,374.0013,216.3643,1,4
749,5461,5740,6022,6301,6583,6021.251,324.5438,0,0,0,0,0,0,0,0.00389375,0.00401832,0.00411975,0.00420656,0.0043078,0.0041122,0.0001138671,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-605.866,-369.004,-268.01,-47.8394,1018.07,-216.0547,247.0433,630.373,650.412,666.72,680.675,696.945,665.5036,18.30732,0.0182623,0.0201227,0.0215667,0.0227624,0.0241059,0.02142816,0.001601249,-606.75,-369.732,-268.029,-48.1536,1018.04,-216.1484,247.2459,273.583,274.016,274.361,274.65,274.98,274.3307,0.3837855,0.00541561,0.0056957,0.0059171,0.00610342,0.00631663,0.005897874,0.0002472992,0.193589,0.214911,0.233446,0.248501,0.263982,0.2316101,0.01992332,0,0,0,0,0,0,0,5.81994,37.58255,45.2375,47.8859,52.6312,42.86884,7.491472,-26.7961,-5.89683,0.63559,4.40507,25.7136,-0.03174891,7.623991,-1.04552e-21,-1.39409e-24,0,1.60426e-24,8.9486e-22,7.067839e-24,1.140253e-22,7.016562,38.56837,46.29848,48.02749,52.64485,43.59729,7.153863,0,186,374,561,749,374.0013,216.3643,1,5
749,5461,5740,6022,6301,6583,6021.251,324.5438,0,0,0,0,0,0,0,0.0038952,0.00401912,0.00411995,0.00420672,0.00430783,0.004112708,0.0001133554,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-610.687,-372.9,-268.548,-51.522,1017.59,-217.0581,248.6229,630.607,650.54,666.753,680.701,696.95,665.5853,18.22494,0.0182751,0.0201241,0.0215667,0.0227643,0.0241063,0.02143229,0.001597381,-611.571,-373.489,-268.037,-51.1681,1017.56,-217.1519,248.8308,273.588,274.019,274.361,274.65,274.98,274.3324,0.3819809,0.00541811,0.00569613,0.00591718,0.00610374,0.00631669,0.005898728,0.0002464599,0.233434,0.258702,0.280537,0.298115,0.316558,0.2783506,0.02340897,0,0,0,0,0,0,0,5.87385,37.79545,45.2609,47.9032,52.7335,43.0129,7.407265,-26.6822,-5.94531,0.635126,4.41544,25.8571,-0.03444807,7.644569,-1.03493e-21,-1.38957e-24,0,1.61183e-24,8.90622e-22,7.050687e-24,1.140749e-22,7.251699,38.81895,46.32529,48.05825,52.74717,43.74387,7.057394,0,186,374,561,749,374.0013,216.3643,1,6
